date,gameVersion
2018-12-05,912562498
2018-12-05,912561643
2018-12-04,912561481
2018-12-13,824257390
2018-12-11,8242569476
2018-12-08,8242564795
2018-12-08,8242563838
2018-12-03,824256110
2018-11-30,8242558524
2018-11-30,8242558494
2018-11-30,8242557007
2018-11-30,8242555966
2018-11-29,8242555609
2018-11-29,8242555322
2018-11-28,8242555277
2018-11-28,8242554241
2018-11-28,8242554227
2018-11-28,8242554005
2018-11-27,824255935
2018-11-26,824255885
2018-11-26,824255812
2018-11-24,8242547721
2018-11-21,8242547578
2018-11-21,8242547482
2018-11-21,8242545599
2018-11-20,8242545376
2018-11-20,8242545262
2018-11-19,8242543621
2018-11-20,8242543407
2018-11-19,8242543228
2018-11-28,8232552005
2018-11-27,8232546415
2018-11-21,8232546245
2018-11-17,8232541658
2018-11-16,823254240
2018-11-16,8232539057
2018-11-14,8232536851
2018-11-14,8232536368
2018-11-13,8232535631
2018-11-13,8232535495
2018-11-13,8232533678
2018-11-12,8232533588
2018-11-09,8232531158
2018-11-09,8232531091
2018-11-08,8232529016
2018-11-08,8232528885
2018-11-08,8232527157
2018-11-08,8232526921
2018-11-07,8232526707
2018-11-07,8232525576
2018-11-07,8232525416
2018-11-21,8222538308
2018-11-21,8222534332
2018-11-06,8222522691
2018-11-03,8222522016
2018-11-02,8222521242
2018-11-02,822252564
2018-10-31,8222517905
2018-10-31,8222517727
2018-10-30,8222515891
2018-10-29,8222513922
2018-10-29,8222513754
2018-10-26,8222511954
2018-10-26,8222511605
2018-10-25,8222509896
2018-10-25,8222509661
2018-10-24,8222508186
2018-10-24,8222507287
2018-10-24,8222506317
2018-10-23,8222505941
2018-11-03,8212518172
2018-10-30,8212514430
2018-11-02,8212507710
2018-10-20,8212502733
2018-10-20,821250875
2018-10-18,82125048
2018-10-18,8212499577
2018-10-17,8212498614
2018-10-17,8212498577
2018-10-17,8212496536
2018-10-17,8212496302
2018-10-16,8212494572
2018-10-16,8212494358
2018-10-13,8212493082
2018-10-13,8212492973
2018-10-12,8212491966
2018-10-12,821249660
2018-10-12,821249590
2018-10-10,8212488735
2018-10-10,8212488712
2018-10-10,8212487187
2018-10-10,8212487063
2018-10-09,8212486921
2018-10-23,8202495957
2018-10-23,8202495788
2018-10-11,8202488431
2018-10-06,8202483196
2018-10-05,8202482920
2018-10-05,8202481315
2018-10-04,8202479902
2018-10-03,8202478572
2018-10-02,8202478424
2018-09-30,8202474819
2018-09-28,8202474708
2018-09-27,8202472661
2018-09-27,8202471003
2018-09-26,820247762
2018-09-26,8202469247
2018-09-25,8202468964
2018-09-25,8202468862
2018-10-04,8192474748
2018-09-28,8192473725
2018-09-28,8192473360
2018-09-27,8192468630
2018-09-25,8192467782
2018-09-21,8192464856
2018-09-21,8192464509
2018-09-21,8192462807
2018-09-20,8192462151
2018-09-19,8192461224
2018-09-19,8192459781
2018-09-19,8192459720
2018-09-18,8192458147
2018-09-18,8192457961
2018-09-17,8192457891
